Title,URL,Image URL,Price,Rating,Review Count
"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11‑core CPU and...",https://www.amazon.in/Apple-MacBook-14-inch-11%E2%80%91core-14%E2%80%91core/dp/B0CM5SRXP8?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61RJn0ofUsL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,99,900.00",4.6 out of 5 stars,6
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16‑core CPU and...",https://www.amazon.in/Apple-MacBook-16-inch-16%E2%80%91core-40%E2%80%91core/dp/B0CM5SZ7CP?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹3,99,900.00",2.3 out of 5 stars,5
"Apple 2023 MacBook Pro (14-inch, M3 Max chip with 14‑core CPU and...",https://www.amazon.in/Apple-MacBook-14-inch-14%E2%80%91core-30%E2%80%91core/dp/B0CM5VYBTY?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61RJn0ofUsL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹3,19,900.00",4.6 out of 5 stars,6
"Apple 2023 MacBook Pro (16-inch, M3 Pro chip with 12‑core CPU and...",https://www.amazon.in/Apple-MacBook-16-inch-12%E2%80%91core-18%E2%80%91core/dp/B0CM5QWD5Q?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹2,89,900.00",4.0 out of 5 stars,3
"Apple 2023 MacBook Pro (14-inch, M3 chip with 8‑core CPU and...",https://www.amazon.in/Apple-MacBook-14-inch-10%E2%80%91core-Unified/dp/B0CM5RTLM1?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61xKOBNlu2L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,69,900.00",4.6 out of 5 stars,6
"Apple 2023 MacBook Pro (16-inch, M3 Pro chip with 12‑core CPU and...",https://www.amazon.in/Apple-MacBook-16-inch-12%E2%80%91core-18%E2%80%91core/dp/B0CM5QG1Y1?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹2,49,900.00",4.0 out of 5 stars,3
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14‑core CPU and...",https://www.amazon.in/Apple-MacBook-16-inch-14%E2%80%91core-30%E2%80%91core/dp/B0CM5S7HF6?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹3,49,900.00",4.0 out of 5 stars,3
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14‑core CPU and...",https://www.amazon.in/Apple-MacBook-16-inch-14%E2%80%91core-30%E2%80%91core/dp/B0CM5R9RJK?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61RcOfisl7L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹3,49,900.00",1.0 out of 5 stars,1
"Apple 2023 iMac (24-inch, M3 chip with 8‑core CPU and 10‑core GPU,...",https://www.amazon.in/Apple-24-inch-8%E2%80%91core-10%E2%80%91core-Unified/dp/B0CM5KDPF9?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61KBIj28ZUL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,74,900.00",3.6 out of 5 stars,3
Apple iPhone 15 (128 GB) - Black,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71657TiFeHL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹72,999.00M.R.P.:₹79,900.00(9%off)",4.5 out of 5 stars,777
Apple iPhone 15 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹72,999.00M.R.P.:₹79,900.00(9%off)",4.5 out of 5 stars,777
Apple iPhone 15 (128 GB) - Green,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹72,999.00M.R.P.:₹79,900.00(9%off)",4.5 out of 5 stars,777
Apple iPhone 15 (128 GB) - Pink,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71v2jVh6nIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹74,900.00M.R.P.:₹79,900.00(6%off)",4.5 out of 5 stars,777
Apple iPhone 15 (128 GB) - Yellow,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX7NG26?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71REplb5oZL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹72,999.00M.R.P.:₹79,900.00(9%off)",4.5 out of 5 stars,777
Apple iPhone 15 (256 GB) - Black,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX2WQLX?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71657TiFeHL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹82,999.00M.R.P.:₹89,900.00(8%off)",4.5 out of 5 stars,777
Apple iPhone 15 (256 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX6N27Y?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹84,900.00M.R.P.:₹89,900.00(6%off)",4.5 out of 5 stars,777
