a,b
24.35944,-33.78173
73.96543,39.051117
38.370613,42.89227
54.793015,5.576325
-9.559664,-81.49897
-41.92175,2.5648618
-2.2725887,38.66197
31.532648,-41.4628
65.16477,22.307547
-29.410118,75.81832
66.09179,49.47675
6.508919,12.570008
33.84643,-28.555202
-16.857405,41.410275
-10.678214,22.422237
13.133967,-42.91844
-54.95413,6.7911806
-74.812515,-29.106503
55.11232,19.037067
-34.466366,57.582905
3.2904284,-76.72974
86.36624,-32.7591
-47.974236,-47.42853
-59.616436,43.350906
70.71312,52.77847
-34.03097,76.81056
81.457054,-13.500231
-33.82922,35.47209
43.956707,-63.370003
-25.202375,40.447056
52.90082,23.90385
-61.88445,68.44901
-5.406163,20.45843
40.86744,50.81466
-73.23121,-28.235832
-67.77034,41.726456
-22.896671,41.99355
11.566845,-37.578743
-33.74912,68.44571
45.09013,14.475289
80.55737,-43.935635
71.90872,-34.77784
-76.75721,-11.094956
45.062332,29.320917
-79.28076,1.225367
-12.454789,29.25928
55.837,16.264359
39.225178,-60.90197
-37.964012,-56.771194
-22.096563,75.09977
-3.5384119,7.0049405
-11.191473,-36.710163
-23.364134,72.776566
41.286873,2.4621952
-4.1926227,-78.46671
69.1542,-5.3252015
9.474872,57.308037
-31.035398,-6.373941
26.302765,-43.841625
70.134636,32.23179
-51.609375,-53.19581
-71.59297,2.4251769
82.68024,-9.82479
-16.929655,-17.232704
-25.968414,-19.582346
45.525852,-62.717274
44.678547,-54.064884
-28.87926,-24.78252
-7.916587,-76.432495
-39.799065,-57.58334
10.378994,66.70896
-14.058056,33.58824
7.886959,32.472507
-77.00834,8.252737
43.099285,-0.06325454
-0.97152084,37.5668
43.40359,-2.3917487
24.880373,-2.5610917
10.996843,-73.789
30.600443,15.711645
-51.16979,-2.3725557
-5.746416,46.6752
-10.1568165,-36.02631
-56.242443,-44.507206
27.222664,28.06383
18.270334,-32.637928
-32.68923,54.49203
8.657092,-91.94589
0.093123384,2.628181
-23.05305,-29.307415
51.715992,66.53317
3.0942056,-73.559845
0.51874703,-60.65419
-9.319974,-40.703224
22.51854,-38.68798
54.471573,-34.214176
7.1639833,-86.52066
7.917121,-6.092858
-63.395367,52.257057
-0.4714502,-8.036503
23.589188,-28.788319
7.2072253,-94.70274
9.131876,-5.857713
71.6198,-14.209075
40.001698,-8.043238
14.983987,-64.84078
-11.575504,27.555433
26.960012,25.839718
78.23849,44.610256
76.16822,-42.953384
-28.107079,27.07063
-8.7323,-15.862214
-59.02231,-26.827995
12.479519,33.8032
-75.40743,13.682798
-59.184578,70.34134
50.346745,-45.097023
8.186524,-5.7621055
-37.18676,80.17207
73.97924,-17.754019
40.93215,-9.060486
47.946674,14.448215
-11.29427,56.524612
-20.301836,80.223946
53.186203,54.399597
-10.469262,18.809835
-36.924263,-0.07354912
58.04396,36.791748
-69.9293,-9.801149
66.59505,-5.0287786
61.47429,21.487001
45.027683,20.37203
-25.204,69.7792
11.803482,39.32596
-10.125068,-9.574439
-54.51136,19.029047
-6.1100917,58.289955
-38.92435,36.41296
52.881973,-21.15157
-25.044514,76.14219
-69.11684,11.781624
16.321371,-35.2511
-21.031315,-17.320536
-2.2796376,34.029976
-58.6165,-40.29326
35.321068,18.808794
-18.694567,-46.39427
-3.9973335,-0.3471885
81.316246,-18.965216
-15.931816,33.30898
55.326134,-15.311
51.55393,51.587635
5.4234743,-80.232765
-57.019276,-15.349467
-6.427273,10.85817
48.003345,-36.348183
-30.281567,5.741341
-25.644743,29.95884
52.431988,61.88753
76.04515,41.52145
-1.597436,3.395606
-42.663166,-10.40846
-34.3926,39.28159
-63.332073,-21.17368
7.7211003,-90.73369
-1.9013895,-5.475763
-37.695442,38.36804
-23.821373,-19.260014
-12.524019,64.86737
75.6981,-17.912188
-74.268456,-22.161371
37.203316,-63.592014
-79.85637,9.709982
7.165134,-68.38479
-44.720005,-29.834585
-59.102043,2.6994267
43.4686,-67.26985
65.98173,22.2047
-54.054825,-30.94498
20.593662,-41.89893
-58.60775,-8.026424
-36.77688,50.892303
7.58632,-14.802296
37.564945,-62.862564
85.027885,-29.892534
70.012665,28.755548
50.200134,6.6925483
33.38128,-54.536728
-49.637753,-20.595646
60.472008,-9.035159
5.5878706,-95.076584
-56.921093,5.4482036
-32.998314,-17.915888
-17.155146,60.4443
-23.787203,55.921078
-2.9968834,-68.626884
-72.33201,4.936509
-69.19279,-39.568916
-11.646184,-81.64831
4.840329,-95.81653
43.93517,-0.1180413
-18.788803,-47.847942
-35.445507,43.196857
44.96505,-43.663437
69.530685,36.851498
-57.681957,-46.943333
-37.89272,55.289787
25.317919,7.303696
-54.784416,19.453112
-36.43556,38.703682
-44.2258,-64.35507
-58.596355,48.080177
-8.92683,65.69629
-61.468773,52.402203
55.75762,-12.203581
18.164165,54.744884
-7.777142,42.282894
-22.480345,45.743298
78.51879,-13.451208
-50.9863,-49.734745
-33.55452,70.47454
2.1368768,21.290686
82.009796,-36.92422
9.723495,-4.7038574
51.736473,63.7966
-69.61565,-10.393524
12.863863,19.270731
0.64416385,55.29777
-67.84809,57.394356
7.0114293,-82.96798
-62.05867,68.22833
-15.493014,-48.28117
-20.485775,74.86542
28.329016,-30.017475
-74.64006,10.398457
-81.04382,-21.153923
2.2775621,38.897808
-7.7583866,-9.336378
48.612633,61.257973
-21.44539,41.49552
-34.9817,56.320107
3.2624834,22.20443
-52.527065,-49.142292
-53.380836,39.621727
-0.3755944,64.449974
10.448246,-84.56625
-58.973824,-18.637608
-39.88929,37.762634
-4.7185807,2.2671266
10.821826,58.219414
17.909807,64.54603
39.94613,-4.774115
-9.22849,34.84886
2.5372326,-4.65193
70.50683,52.26762
15.026064,-64.86542
-45.040455,6.112837
47.960854,26.173346
-10.108871,-37.279152
-75.37129,-14.857652
-25.14321,41.31516
-11.891229,60.274292
-71.1718,-30.142666
-28.362978,33.763515
19.900858,61.67253
76.413895,47.963573
46.264767,-38.22203
44.03502,10.174257
-48.610634,-53.91123
19.184956,-5.3340597
-69.89966,-40.36101
76.02805,-41.18741
74.43034,36.70013
-79.71535,-8.93768
25.98884,43.40609
32.399315,-15.230318
-67.9766,-41.670963
-71.84088,11.887087
48.68598,66.50207
-4.4503365,-85.98608
-22.335995,55.84921
-62.226315,8.054322
-17.197124,-48.5589
-47.833027,-45.426365
2.7027502,-2.9003146
66.02602,24.445309
66.998566,-5.2122793
76.503365,-6.010443
53.66695,-16.00868
-11.598461,19.828156
-11.876896,-80.85741
28.864452,30.248959
-35.70762,-9.269586
7.1474075,34.541122
-54.928947,-35.53511
-49.746517,-19.575457
-63.816525,-23.079136
51.372692,26.430998
-12.716486,-42.54141
66.35038,33.063442
39.076492,-68.64143
-57.187717,41.900562
-41.730392,-2.1561413
60.908756,53.757748
36.978344,13.232637
52.632835,30.102137
-28.34356,-17.48544
-56.362816,3.6978986
5.499505,9.680312
74.04418,-42.6199
41.606113,-4.7435374
-59.89475,52.790234
-5.2647605,45.94711
42.806793,1.2296067
-20.008093,45.253445
49.537334,2.7487926
-81.305084,-20.648598
-22.588673,-14.209565
17.121185,65.93533
13.654501,-91.38394
15.9512615,-36.58068
77.49136,-28.88112
55.66834,-17.502193
-37.814854,-62.835518
-65.92005,54.56446
-65.47183,-22.940462
-80.377975,8.684179
24.321043,35.530304
-17.53085,68.68606
-11.439948,-76.39771
11.743938,8.512722
67.294,32.572727
51.383015,-19.372244
10.361548,-84.1554
50.938065,55.530315
28.948898,-30.413542
-17.220867,42.507362
-1.4055437,1.1000631
18.365578,64.86167
-31.657019,-27.944881
-39.848145,3.055255
10.976611,58.981655
35.041645,-44.294903
54.54801,51.45185
78.26421,-13.486177
-34.900467,77.58424
48.80943,59.063786
-30.540081,3.13556
37.728683,-60.23822
8.1198015,21.91949
13.661551,-37.22463
2.2221174,-51.597607
47.973446,64.39508
42.420635,-66.48605
46.427353,13.24108
-37.04478,74.39859
11.815117,38.134956
45.333405,59.98221
-6.4565935,-37.24615
52.83558,-14.781868
-62.432518,-34.50892
11.120014,66.83364
48.83271,6.914512
54.989925,8.89054
-60.503242,-0.7737886
20.811481,-32.341125
48.60061,-39.925743
-39.304863,-28.526455
-3.481898,18.197994
-16.824242,37.446568
45.25489,-0.3763635
-52.664642,-32.088406
31.211647,-27.67561
-33.24209,70.09522
46.52515,28.014473
-7.5905905,24.672684
-10.619318,-20.589941
-44.98359,-11.117482
45.921112,-69.41413
17.658165,-41.070858
12.843268,-42.018272
-17.321653,-46.6947
-34.04916,80.06348
11.737455,-63.72395
-2.9605021,-78.79878
-43.34164,-3.48685
78.52033,-13.443536
13.687453,-30.45534
49.246613,-42.1237
26.60985,23.57395
52.269535,-0.12703015
55.88297,55.45545
42.500473,-68.56479
-50.087875,-56.548233
5.450182,-70.97136
-73.0935,6.7017217
22.36435,35.249783
12.12385,12.120784
38.347622,4.8547773
29.332064,27.582718
18.740154,35.50175
-83.787575,-17.497662
2.4060113,-87.1826
-12.688512,-84.930664
82.90196,-20.470083
9.000914,43.517914
79.27261,-29.117535
71.88424,32.339085
-7.4373393,-33.47846
-53.548615,-9.969025
-47.79102,-15.395726
-35.447083,22.241722
75.56602,37.76546
-50.435143,-11.83933
-17.144943,-16.607992
-21.587332,55.821312
69.74658,-35.19636
40.390114,-57.3763
-56.65543,9.015684
-34.430065,62.37125
-52.645206,20.964136
0.011488076,37.033527
15.412203,31.424553
64.81075,22.559021
-44.908825,-10.974002
45.25855,8.639296
6.2721486,31.773294
27.214201,-39.603516
9.451265,-90.063255
-3.0695167,-65.85326
-38.051105,75.072586
-35.536316,-35.59987
73.857704,-18.32978
-34.20419,55.932907
-2.476069,-80.20666
-52.965397,-11.476171
-8.682315,57.12689
-8.387067,-76.7346
67.47718,-3.0950444
-63.420322,25.016125
-60.69437,2.688549
19.322283,-29.752047
-22.982307,-29.2927
-15.177629,61.39987
4.9107556,27.283613
-49.98094,-38.337685
52.091846,62.438576
-15.2590475,73.401436
-86.06294,-15.66347
15.753295,-28.315908
-25.689768,27.77923
48.437138,54.492
72.57798,47.920963
77.328415,-19.74559
-65.82118,25.380186
6.4226832,-6.5761027
-30.063423,-0.9723748
9.398289,32.62928
-12.734235,56.620144
14.173881,-29.287592
50.730106,3.182961
10.246061,67.157906
4.7277403,-97.304375
-34.748272,71.37359
6.1771684,-93.10769
-23.996677,71.53476
